cell;lon;lat
2;25.631790161133;59.164810180664
3;24.715308;59.40347
4;24.704129;59.401095
5;24.706154;59.401414
6;24.714121;59.405327
7;24.693144;59.4093
8;24.696162;59.413922
9;24.694962;59.414442
10;24.707278;59.416489
11;24.692381;59.415504
12;24.693196;59.415033
13;24.694763;59.414969
14;24.695885;59.418848
15;24.695251;59.416352
16;24.697904;59.409999
17;24.689654;59.413069
18;24.690113;59.403208
19;24.692568;59.402997
20;24.687092;59.401405
21;24.686784;59.402647
22;24.689418;59.402183
23;24.692092;59.400916
24;24.689638;59.393595
25;24.690295;59.396149
26;24.678329;59.396712
27;24.683414;59.403214
28;24.705953;59.401178
29;24.711419;59.398858
30;24.717208;59.404302
31;24.71135;59.409629
32;24.705442;59.408035
33;24.699616;59.423008
34;24.700354;59.423635
35;24.704637;59.425438
36;24.708283;59.425253
37;24.681747;59.402939
38;24.68598;59.404941
39;24.684675;59.402085
40;24.698404;59.417372
41;24.691038;59.409479
42;24.691951;59.403196
43;24.689118;59.401521
44;24.692491;59.410868
45;24.680398;59.410537
46;24.693483;59.41475
47;24.704248;59.425174
48;24.720607;59.424193
49;24.701444;59.422326
50;24.707759;59.426986
51;24.70679;59.426965
52;24.69898;59.421616
53;24.712596;59.430085
54;24.723147;59.434579
55;24.720943;59.423959
56;24.715821;59.427767
57;24.721563;59.427809
58;24.702353;59.423933
59;24.69949;59.421102
60;24.683032;59.413876
61;24.677943;59.414379
62;24.689103;59.415006
63;24.667941;59.409782
64;24.664782;59.403078
65;24.667891;59.403917
66;24.656753;59.410533
67;24.652925;59.395426
68;24.654296;59.391208
69;24.622365;59.389981
70;24.659006;59.394413
71;24.619746;59.341073
72;24.616597;59.349064
73;24.644731;59.362689
74;24.620047;59.351188
75;24.62188;59.359714
76;24.629955;59.355929
77;24.633672;59.369341
78;24.631914;59.319305
79;24.645564;59.308651
80;24.54637;59.302155
81;24.550415;59.291552
82;24.51814;59.280027
83;24.532247;59.261203
84;24.489998;59.270807
85;24.513118;59.196134
86;24.506026;59.20858
87;24.503175;59.193141
88;24.496931;59.217781
89;24.522023;59.250466
90;24.46058;59.16088
91;24.247125;59.235159
92;24.316177368164;59.196395874023
93;24.288486;59.209673
94;24.279102;59.203953
95;24.478808;59.161975
96;24.296682;59.210129
97;24.162487;59.285109
98;24.15137;59.291486
99;24.247512817383;59.207382202148
100;24.092705;59.339781
101;24.218345;59.291206
102;24.406837;59.249656
103;24.329243;59.319098
104;24.324417114258;59.284286499023
105;24.398574829102;59.307632446289
106;24.342164;59.329858
107;24.364708;59.325147
108;24.421572;59.322235
109;24.471342;59.338534
110;24.489226;59.293399
111;24.422389;59.328264
112;24.461593;59.323727
113;24.577102661133;59.391403198242
114;24.493396;59.417523
115;24.471336;59.348912
116;24.594949;59.396113
117;24.615544;59.407199
118;24.591751;59.407203
